Gene	Transcripts
GNAT2	NM_005272.4
UBE2G2	NM_182688.3
SLC30A10	NM_018713.2
CSMD2	NM_052896.4
EIF5	NM_001969.5
CENPV	NM_181716.3
COL4A4	NM_000092.5
AR	NM_000044.6
HOXA6	NM_024014.4
CYP11A1	NM_000781.3
RFX4	NM_032491.6
SDCCAG8	NM_006642.5
FBLN1	NM_006486.3
H1-5	NM_005322.2
APBA1	NM_001163.4
EFHC2	NM_025184.4
MOV10L1	NM_018995.3
NRN1L	NM_198443.2
HORMAD1	NM_032132.5
XPO6	NM_001270940.2
SLC10A4	NM_152679.4
SLC35A4	NM_080670.3
SYT13	NM_020826.3
MTMR11	NM_181873.3
PRSS8	NM_002773.5
IL26	NM_018402.2
PDZRN3	NM_015009.3
TMEM68	NM_152417.3
CETN2	NM_004344.3
USPL1	NM_005800.5
RACK1	NM_006098.5
RASA4B	NM_001277335.2
GPR101	NM_054021.1
BLOC1S3	NM_212550.5
NCOA6	NM_014071.5
SESTD1	NM_178123.5
TRAF5	NM_004619.3
NEK1	NM_001199397.2
PLPP5	NM_032483.3
SLC6A19	NM_001003841.3
EI24	NM_004879.5
NFATC4	NM_004554.5
ANKRD33B	NM_001164440.2
OTUD4	NM_017493.7
ABHD15	NM_198147.3
CDK11A	NM_024011.4
ZFPM1	NM_153813.3
NFASC	NM_001005388.2
SSX4	NM_005636.4
ZNF226	NM_001032372.1
GP9	NM_000174.4
DTL	NM_016448.4
GTF2A1L	NM_006872.5
MBNL1	NM_021038.5
CKAP2L	NM_152515.5
PRPSAP2	NM_002767.4
CCDC152	NM_001134848.2
KRT37	NM_003770.5
CD79A	NM_001783.4
NRG1	NM_013956.3
OR2J2	NM_030905.2
WDR93	NM_020212.2
FOS	NM_005252.4
OR9I1	NM_001005211.1
TRMT1	NM_017722.4
IFIT2	NM_001547.5
ISY1	NM_020701.4
BCL2A1	NM_004049.4
SMN1	NM_000344.3
OR6B3	NM_173351.1
NEO1	NM_002499.4
XCL1	NM_002995.3
NDUFB2	NM_004546.3
GAS2L1	NM_006478.5
DACT1	NM_016651.6
PEX2	NM_000318.3
KRTAP20-2	NM_181616.3
IFT172	NM_015662.3
NCAM1	NM_000615.7
KIF5C	NM_004522.3
OGFRL1	NM_024576.5
COBLL1	NM_014900.5
OR10K2	NM_001004476.1
CEP135	NM_025009.5
CD69	NM_001781.2
PDE4C	NM_000923.5
RPL19	NM_000981.4
NAA38	NM_032356.5
AGBL5	NM_021831.6
GORASP1	NM_031899.3
SLC36A3	NM_181774.4
GRID2IP	NM_001145118.1
C11orf98	NM_001286086.1
SLC4A1AP	NM_018158.2
OR11A1	NM_013937.3
CIB4	NM_001029881.3
ETF1	NM_004730.4
FGFBP2	NM_031950.4
ANKRD44	NM_153697.3
TMIGD1	NM_206832.3
CNNM4	NM_020184.4
IFI27L2	NM_032036.3
PITHD1	NM_020362.5
TRAPPC6B	NM_177452.4
SPATS2	NM_023071.3
DAAM1	NM_014992.2
ANKRD40CL	NM_001358683.2
ITGB6	NM_000888.5
MRPL24	NM_145729.3
HOXB1	NM_002144.4
SEC31B	NM_015490.4
DAZAP1	NM_170711.3
UGDH	NM_003359.4
BTG2	NM_006763.3
DIPK1C	NM_001044369.2
CYB561	NM_001915.4
MAP10	NM_019090.2
FRMD6	NM_152330.4
VEGFA	NM_001025366.3
EPHB6	NM_001280794.2
SPEF1	NM_015417.5
SOX15	NM_006942.2
MAPKAPK2	NM_004759.5
XG	NM_175569.2
NXPH2	NM_007226.3
SYTL3	NM_001009991.3
STT3B	NM_178862.3
GSTP1	NM_000852.4
METTL2B	NM_018396.2
F10	NM_000504.4
WDR59	NM_030581.4
SYCE1L	NM_001129979.3
CALCR	NM_001742.4
GXYLT1	NM_173601.2
ELK3	NM_005230.4
OOSP4B	NM_001368161.2
ARMC4	NM_018076.5
ACTL8	NM_030812.3
COMMD8	NM_017845.5
LGMN	NM_005606.7
KLHL4	NM_019117.5
TMEM139	NM_153345.3
RPL36AL	NM_001001.5
TMSB15A	NM_021992.3
GPAA1	NM_003801.4
AMER3	NM_152698.3
OR4D5	NM_001001965.1
APH1A	NM_016022.3
SCN7A	NM_002976.3
SDAD1	NM_018115.4
ATP1B4	NM_001142447.3
HDX	NM_144657.5
NKTR	NM_005385.4
DIS3	NM_014953.5
H2BC12	NM_080593.2
PPAN	NM_020230.7
SELP	NM_003005.4
ETV2	NM_014209.4
SLC3A1	NM_000341.4
PC	NM_001040716.2
SMCO1	NM_001320473.2
TRPC4AP	NM_015638.3
RGS19	NM_005873.3
RPS2	NM_002952.4
SYP	NM_003179.2
PDIA5	NM_006810.4
TUBB1	NM_030773.4
PRXL2A	NM_001243778.1
RAPGEF5	NM_012294.5
HIPK3	NM_005734.5
DDX23	NM_004818.3
IL23R	NM_144701.3
DSG2	NM_001943.5
DDX4	NM_024415.3
ATP6V1G1	NM_004888.4
KDF1	NM_152365.3
JRK	NM_003724.4
SCGB2B2	NM_001025591.3
MDFIC	NM_199072.4
SOX5	NM_006940.6
MCRS1	NM_006337.5
ZC3H7A	NM_014153.4
ZFAND1	NM_024699.3
DCTN6	NM_006571.4
EFCAB7	NM_032437.4
OR5M8	NM_001005282.1
BEX2	NM_032621.4
STAU2	NM_001164380.2
GALNT12	NM_024642.5
TRIM49D1	NM_001206627.1
UGT8	NM_003360.4
TMEM14A	NM_014051.4
GNG5	NM_005274.3
PDE7B	NM_018945.4
CCNT2	NM_058241.3
C11orf49	NM_024113.5
B3GALNT2	NM_152490.5
OR5R1	NM_001004744.1
TBC1D16	NM_019020.4
SPRR2D	NM_006945.5
KLK8	NM_007196.4
MSX1	NM_002448.3
PVALEF	NM_001354639.2
ASCC3	NM_006828.4
BAG1	NM_004323.6
MECP2	NM_004992.3
ATRAID	NM_016085.5
IP6K2	NM_016291.4
NAA15	NM_057175.5
NXPH3	NM_007225.3
TCHHL1	NM_001008536.2
ARPC4	NM_001024959.2
WASHC1	NM_182905.5
AS3MT	NM_020682.4
APOC2	NM_000483.5
NCAPD3	NM_015261.3
GAMT	NM_138924.3
ANKAR	NM_144708.3
PPT1	NM_000310.3
PRY2	NM_001002758.1
INPP1	NM_001128928.2
ABCC6	NM_001079528.4
SS18L1	NM_001301778.2
NTMT1	NM_014064.3
TSSK2	NM_053006.5
TMCO1	NM_019026.4
RCBTB1	NM_018191.4
MCAT	NM_173467.5
NEU4	NM_080741.4
CLUH	NM_015229.4
ERICH4	NM_001130514.3
DHDDS	NM_024887.3
FCGRT	NM_001136019.3
BRD4	NM_058243.2
PDF	NM_022341.2
SCG3	NM_013243.4
LYZL2	NM_183058.3
MYH7	NM_000257.4
LINGO3	NM_001101391.2
TMC4	NM_001145303.3
C19orf53	NM_014047.3
NME7	NM_013330.5
SHD	NM_020209.4
H3-5	NM_001013699.3
OR2T11	NM_001001964.1
MAX	NM_197957.3
NALCN	NM_052867.4
TFEC	NM_012252.4
GPR152	NM_206997.1
CLNS1A	NM_001293.3
GPX6	NM_182701.1
PDHX	NM_003477.3
FUT3	NM_000149.3
PRDX2	NM_005809.6
CBX8	NM_020649.3
GMFB	NM_004124.3
AMDHD1	NM_152435.3
LIG1	NM_000234.3
ANKRD40	NM_052855.4
RBM19	NM_016196.4
CCDC126	NM_138771.4
IGLON5	NM_001101372.2
NF2	NM_000268.3
DCAF8L1	NM_001017930.2
GGCT	NM_024051.4
CDH19	NM_021153.4
RBM44	NM_001080504.2
PRKCZ	NM_002744.6
GPM6B	NM_001001995.3
CCBE1	NM_133459.4
DSP	NM_004415.4
HPR	NM_020995.3
APBB3	NM_006051.3
UCN2	NM_033199.4
EHHADH	NM_001166415.2
PPP1R16B	NM_015568.4
GPR61	NM_031936.5
EXOG	NM_005107.4
THPO	NM_000460.4
LRRC8B	NM_015350.4
GOLPH3	NM_022130.4
LIPJ	NM_001010939.2
NARS1	NM_004539.4
POU3F2	NM_005604.4
PRR20E	NM_001130407.1
CXXC4	NM_025212.4
C1QTNF4	NM_031909.3
OR11H2	NM_001197287.1
SHB	NM_003028.3
LATS2	NM_014572.3
HSPA2	NM_021979.3
PRLR	NM_000949.7
TULP1	NM_001289395.2
CGGBP1	NM_001008390.2
FASN	NM_004104.5
OCEL1	NM_024578.3
ARSG	NM_014960.5
PRELID1	NM_013237.4
LMBRD2	NM_001007527.2
MAGEF1	NM_022149.5
MRAP2	NM_138409.4
GTF2F2	NM_004128.3
ZNF772	NM_001024596.3
TEX51	NM_001322244.2
OR2F2	NM_001004685.1
ADH1A	NM_000667.4
CYB5RL	NM_001031672.4
MAGI2	NM_012301.4
KCNAB1	NM_003471.3
FAM216A	NM_013300.3
ZNF644	NM_032186.4
ZNF234	NM_001144824.2
SARDH	NM_001134707.2
SALL2	NM_005407.3
SMARCD2	NM_001098426.2
APOBEC3C	NM_014508.3
TBCK	NM_033115.5
SLC35F4	NM_001306087.2
TBCC	NM_003192.3
OR6C65	NM_001005518.1
CENPW	NM_001012507.3
SNRNP25	NM_024571.4
RPL17	NM_000985.5
RPL37A	NM_000998.5
ANKRD49	NM_017704.3
RPL35A	NM_000996.4
SEMA4D	NM_006378.4
HLA-DQB1	NM_002123.5
DNAH10	NM_001372106.1
AMIGO2	NM_181847.4
FAU	NM_001997.5
PRKAR1A	NM_001276289.1
NIT1	NM_001185092.2
CDHR5	NM_021924.5
OFD1	NM_003611.3
MSN	NM_002444.3
GRB2	NM_002086.5
SLC27A3	NM_024330.4
CABLES1	NM_138375.2
GSTCD	NM_024751.3
JPH2	NM_020433.4
IPO4	NM_024658.4
OR4A5	NM_001005272.3
MTFP1	NM_016498.5
FGF22	NM_001300812.2
HLX	NM_021958.4
FSBP	NM_001256141.2
RPL4	NM_000968.4
TMED9	NM_017510.6
COL12A1	NM_004370.6
PRSS48	NM_183375.4
GLMP	NM_144580.3
WFDC1	NM_001282466.2
SLCO4A1	NM_016354.4
LMLN2	NM_001354640.2
RWDD1	NM_015952.4
IFNA21	NM_002175.2
FXYD6	NM_022003.4
ABI1	NM_005470.3
GNL3	NM_014366.5
SYCP3	NM_153694.4
PLET1	NM_001145024.1
MCMDC2	NM_173518.5
OR8K3	NM_001005202.1
KBTBD13	NM_001101362.2
SNX30	NM_001012994.2
ZXDC	NM_025112.5
BCS1L	NM_004328.5
MEX3C	NM_016626.5
NPIPB4	NM_001310148.1
ESF1	NM_016649.3
OR6C76	NM_001005183.1
SNX4	NM_003794.4
ACY1	NM_000666.3
FAM236C	NM_001351111.1
OR4E2	NM_001001912.2
RAD51AP1	NM_006479.5
TBRG4	NM_030900.3
MMP23B	NM_006983.2
BHLHA9	NM_001164405.1
PLVAP	NM_031310.3
CPB2	NM_001872.5
C4B	NM_001002029.3
OCM	NM_001097622.2
USP43	NM_153210.5
APOBEC3B	NM_004900.5
RGMA	NM_020211.3
PHKA2	NM_000292.3
SMARCD1	NM_003076.5
OVCH2	NM_198185.6
TMEM61	NM_182532.3
RRP7A	NM_015703.5
ZBTB5	NM_014872.3
UTP14A	NM_006649.4
SAMD15	NM_001010860.2
ARHGAP22	NM_021226.4
GALNS	NM_000512.5
DCAF12L2	NM_001013628.3
RSPH3	NM_031924.6
CPNE6	NM_001280558.1
LGALS2	NM_006498.3
HSP90B1	NM_003299.3
NEUROD6	NM_022728.4
PRSS33	NM_152891.2
TRIM49D2	NM_001105522.1
GLA	NM_000169.2
ABCA7	NM_019112.4
SULT2B1	NM_004605.2
USHBP1	NM_031941.4
C17orf64	NM_181707.3
BBS2	NM_031885.4
ALLC	NM_018436.4
RAD17	NM_133344.3
SYT15	NM_031912.5
KRTAP9-3	NM_031962.3
SSB	NM_003142.5
BPNT2	NM_017813.5
ZNF658	NM_033160.6
ARID2	NM_152641.4
CAMK4	NM_001744.6
POGLUT1	NM_152305.3
PRY	NM_004676.2
SPEM3	NM_001364672.1
ZIC3	NM_001330661.1
IL2RA	NM_000417.3
CIDEA	NM_001279.4
PIGA	NM_002641.3
PLXDC2	NM_032812.9
KRTAP7-1	NM_181606.3
ADGRB1	NM_001702.3
SMR3A	NM_012390.4
CCDC113	NM_014157.4
CCDC73	NM_001008391.3
ZNF697	NM_001080470.2
UBE2B	NM_003337.4
C1GALT1	NM_020156.5
RSL1D1	NM_015659.3
LRRC27	NM_030626.3
MUCL1	NM_058173.3
RLN1	NM_006911.4
TMEM35A	NM_021637.3
NGLY1	NM_001145293.1
TTC28	NM_001145418.1
DHX40	NM_024612.5
TMEM243	NM_024315.4
PAK2	NM_002577.4
WDR4	NM_001260474.1
KPNA4	NM_002268.5
SIGLEC7	NM_016543.3
LRRC63	NM_001282460.2
PAOX	NM_152911.4
OR52E6	NM_001005167.2
AHNAK2	NM_138420.4
ZSCAN4	NM_152677.2
AGPAT3	NM_020132.5
ANO9	NM_001012302.3
NXNL2	NM_145283.3
MYO3B	NM_001083615.4
THSD1	NM_018676.4
CUTA	NM_015921.3
TAPBP	NM_003190.4
ROR2	NM_001318204.2
CTCF	NM_006565.4
SCARF1	NM_003693.4
SLC25A20	NM_000387.6
THBS2	NM_003247.3
ATP5F1B	NM_001686.4
PDGFA	NM_002607.5
APLP2	NM_001642.3
KIF19	NM_153209.4
FLRT3	NM_013281.3
TRAIP	NM_005879.3
ATP6V1FNB	NM_001195150.3
TEX101	NM_031451.4
SEC24B	NM_001042734.3
EIPR1	NM_003310.4
AP1M2	NM_001300887.2
CERS1	NM_001290265.1
NIPAL1	NM_207330.3
TYW5	NM_001039693.3
TIMM50	NM_001001563.5
SAMD1	NM_138352.3
SSH1	NM_018984.4
R3HDM4	NM_138774.4
OR1L4	NM_001005235.1
CCDC85B	NM_006848.3
